MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,RL,-0.2549162365533071,-0.21948285276042684,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.5839805414000515,-0.5494721326373805,1.0088558880204295,0.8500624905612919,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.46316996193680804,Gd,TA,PConc,Gd,TA,No,GLQ,0.5227106247422141,Unf,-0.2952966955605355,-0.9841370485534298,-0.5944478851108904,GasA,Ex,Y,SBrkr,-0.8285962182001011,1.1284559681074413,-0.10342778833415932,0.3288522058118382,1.0851394594887975,-0.2497847528540359,0.7699616012037147,1.1818218262498423,0.1748173170921328,-0.17295267788621654,Gd,0.9150926201636822,Typ,-1.0044623487157354,None,Attchd,0.9800527794044396,RFn,0.20070961709827145,0.24769001972327975,TA,TA,Y,-0.7782432256877173,0.1972613554630825,-0.34978332163674103,-0.11832947984692807,-0.2822926952095027,-0.07155586913049995,None,None,None,-0.08428211295110108,-1.6042316959618819,0.1458735117383939,WD,Normal,208500
20,RL,0.4225304555686524,-0.1080688852843798,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,-0.17037436140654103,2.2344280826571534,0.09534297703404968,-0.48135892184134427,Gable,CompShg,MetalSd,MetalSd,None,-0.5963814205646419,TA,TA,CBlock,Gd,TA,Gd,ALQ,1.1149015172360217,Unf,-0.2952966955605355,-0.6792864922312057,0.40522131150732565,GasA,Ex,Y,SBrkr,0.21744192857328917,-0.8111000314380227,-0.10342778833415932,-0.5323690963192114,-0.8545653379506731,3.900959411856239,0.7699616012037147,-0.8016347549624865,0.1748173170921328,-0.17295267788621654,TA,-0.3475569613230591,Typ,0.5424556391233719,TA,Attchd,-0.1102548126338901,RFn,0.20070961709827145,-0.22436010748598523,TA,TA,Y,1.560363645471091,-0.7331350629452272,-0.34978332163674103,-0.11832947984692807,-0.2822926952095027,-0.07155586913049995,None,None,None,-0.08428211295110108,-0.4942441037250623,-0.6064090430506002,WD,Normal,181500
60,RL,-0.1194268981289152,0.05178593761603554,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.5839805414000515,-0.5494721326373805,0.9411882649844013,0.8007505863982314,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.2793702323192096,Gd,TA,PConc,Gd,TA,Mn,GLQ,0.04373269698986941,Unf,-0.2952966955605355,-0.33803586948244757,-0.4368645634764918,GasA,Ex,Y,SBrkr,-0.6637035054082365,1.1557096823867687,-0.10342778833415932,0.4749522481376413,1.0851394594887975,-0.2497847528540359,0.7699616012037147,1.1818218262498423,0.1748173170921328,-0.17295267788621654,Gd,-0.3475569613230591,Typ,0.5424556391233719,TA,Attchd,0.899289254068267,RFn,0.20070961709827145,0.5695423791841422,TA,TA,Y,-0.7782432256877173,-0.09253425027065332,-0.34978332163674103,-0.11832947984692807,-0.2822926952095027,-0.07155586913049995,None,None,None,-0.08428211295110108,0.9857393525906973,0.1458735117383939,WD,Normal,223500
70,RL,-0.48073180059396026,-0.11291297082681663,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,0.5839805414000515,-0.5494721326373805,-1.9685195255648082,-0.7772303468197079,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.5963814205646419,TA,TA,BrkTil,TA,Gd,No,ALQ,-0.5441038507061899,Unf,-0.2952966955605355,-0.09688542940665842,-0.8406718251646381,GasA,Gd,Y,SBrkr,-0.5580691112759484,0.9058839681596011,-0.10342778833415932,0.34230878865763587,1.0851394594887975,-0.2497847528540359,-1.0546305030572005,-0.8016347549624865,0.1748173170921328,-0.17295267788621654,Gd,0.2837678294203116,Typ,0.5424556391233719,Gd,Detchd,0.7781439660640082,Unf,1.7805642639653672,0.751925382878631,TA,TA,Y,-0.7782432256877173,-0.1993010523830823,4.119864210772967,-0.11832947984692807,-0.2822926952095027,-0.07155586913049995,None,None,None,-0.08428211295110108,-1.6042316959618819,-1.3586915978395944,WD,Abnorml,140000
60,RL,0.6031829068011749,0.3433998872707326,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,1.338335444206644,-0.5494721326373805,0.9073544534663872,0.7021267780721101,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.2956746196165188,Gd,TA,PConc,Gd,TA,Av,GLQ,0.41167483239962505,Unf,-0.2952966955605355,-0.21063563698957782,0.11713930164444074,GasA,Ex,Y,SBrkr,-0.08400256199933805,1.5804133965729534,-0.10342778833415932,1.2669682670617317,1.0851394594887975,-0.2497847528540359,0.7699616012037147,1.1818218262498423,1.460632119310771,-0.17295267788621654,Gd,1.5464174109070528,Typ,0.5424556391233719,TA,Attchd,0.8589074914001807,RFn,1.7805642639653672,1.7925813451354196,TA,TA,Y,0.7285101946562129,0.5480665624039206,-0.34978332163674103,-0.11832947984692807,-0.2822926952095027,-0.07155586913049995,None,None,None,-0.08428211295110108,2.095726944827517,0.1458735117383939,WD,Normal,250000
50,RL,0.6483460196093055,0.3293520391976658,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,-0.9247292642131336,-0.5494721326373805,0.6705177728402888,0.45556725725680713,Gable,CompShg,VinylSd,VinylSd,None,-0.5963814205646419,TA,TA,Wood,Gd,TA,No,GLQ,0.5793171071129457,Unf,-0.2952966955605355,-1.179787405596051,-0.742182249143139,GasA,Ex,Y,SBrkr,-0.983183136442474,0.4743668254035846,-0.10342778833415932,-0.34013219852210214,1.0851394594887975,-0.2497847528540359,-1.0546305030572005,1.1818218262498423,-2.396812287345144,-0.17295267788621654,TA,-0.9788817520664297,Typ,-1.0044623487157354,None,Attchd,0.5762351527235767,Unf,0.20070961709827145,-0.11707598766569773,TA,TA,Y,-0.4643362631160652,-0.2755630538919601,-0.34978332163674103,10.504195230380011,-0.2822926952095027,-0.07155586913049995,None,MnPrv,Shed,1.2981182564961422,1.3557352166696373,0.898156066527388,WD,Normal,143000
20,RL,0.19671489152799923,-0.0611781372335913,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,1.338335444206644,-0.5494721326373805,1.0426896995384436,0.9486862988874132,Gable,CompShg,VinylSd,VinylSd,Stone,0.409111217931632,Gd,TA,PConc,Ex,TA,Av,GLQ,1.9661759251958706,Unf,-0.2952966955605355,-0.604211355226479,1.4492108173352163,GasA,Ex,Y,SBrkr,1.3304677399183744,-0.8111000314380227,-0.10342778833415932,0.2980943021643008,1.0851394594887975,-0.2497847528540359,0.7699616012037147,-0.8016347549624865,0.1748173170921328,-0.17295267788621654,Gd,0.2837678294203116,Typ,0.5424556391233719,Gd,Attchd,1.0204345420725258,RFn,0.20070961709827145,0.7197401469325447,TA,TA,Y,1.222913660706565,0.1362517542559802,-0.34978332163674103,-0.11832947984692807,-0.2822926952095027,-0.07155586913049995,None,None,None,-0.08428211295110108,0.6157434885117574,-0.6064090430506002,WD,Normal,307000
60,RL,-0.026844397101756186,-0.032307387400667804,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,0.5839805414000515,0.37849460579413086,-0.006158457519992525,-0.6292946343305261,Gable,CompShg,HdBoard,HdBoard,Stone,0.7010284355595826,TA,TA,CBlock,Gd,TA,Mn,ALQ,0.855818001769981,BLQ,-0.10215703401858839,-0.8339867745439762,0.023574204424016577,GasA,Ex,Y,SBrkr,-0.18190761021950758,1.4214333966102106,-0.10342778833415932,1.0593524174408535,1.0851394594887975,-0.2497847528540359,0.7699616012037147,1.1818218262498423,0.1748173170921328,-0.17295267788621654,TA,0.2837678294203116,Typ,2.0893736269624794,TA,Attchd,-0.23140010063814895,RFn,0.20070961709827145,-0.09561916370164024,TA,TA,Y,1.065960179420739,2.378354598616989,3.3968329922949256,-0.11832947984692807,-0.2822926952095027,-0.07155586913049995,None,None,Shed,0.6069180717725206,1.7257310807485773,0.898156066527388,WD,Normal,200000
50,RM,-0.8871998158671359,-0.44521723903798305,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,0.5839805414000515,-0.5494721326373805,-1.4271785412765832,-1.7634684300809198,Gable,CompShg,BrkFace,Wd Shng,None,-0.5963814205646419,TA,TA,BrkTil,TA,TA,No,Unf,-1.0143730888630373,Unf,-0.2952966955605355,0.8404162810765975,-0.3580729026592925,GasA,Gd,Y,FuseF,-0.4009057443962026,0.8967993967331588,-0.10342778833415932,0.4518838204019882,-0.8545653379506731,-0.2497847528540359,0.7699616012037147,-0.8016347549624865,-1.1109974851265054,5.504957186378376,TA,0.9150926201636822,Min1,2.0893736269624794,TA,Detchd,-1.9274341326977729,Unf,0.20070961709827145,-0.18144645955787023,Fa,TA,Y,-0.07195255990150001,-0.7331350629452272,3.0188848553632224,-0.11832947984692807,-0.2822926952095027,-0.07155586913049995,None,None,None,-0.08428211295110108,-0.8642399678040021,0.1458735117383939,WD,Abnorml,129900
190,RL,-0.9323629286752665,-0.3192710149346255,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,-0.9247292642131336,0.37849460579413086,-1.1565080491324709,-1.7634684300809198,Gable,CompShg,MetalSd,MetalSd,None,-0.5963814205646419,TA,TA,BrkTil,TA,TA,No,GLQ,0.8384006225789866,Unf,-0.2952966955605355,-1.0068870900700138,-0.26204556603833085,GasA,Ex,Y,SBrkr,-0.25920106934069403,-0.8111000314380227,-0.10342778833415932,-0.8880073572438636,1.0851394594887975,-0.2497847528540359,-1.0546305030572005,-0.8016347549624865,-1.1109974851265054,5.504957186378376,TA,-0.9788817520664297,Typ,2.0893736269624794,TA,Attchd,-1.6043800313530827,RFn,-1.3791450297688244,-1.5922326351946507,Gd,TA,Y,-0.7782432256877173,-0.6721254617381249,-0.34978332163674103,-0.11832947984692807,-0.2822926952095027,-0.07155586913049995,None,None,None,-0.08428211295110108,-1.974227560040822,0.1458735117383939,WD,Normal,118000
