date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-05-04,sh.600000,5.2514979600,5.3423992600,5.1683882000,5.2437064200,5.3475936200,46170463,933963133.0000,2,0.582527,1,-1.942700,0
2010-05-05,sh.600000,5.1813741000,5.2852613000,5.1086530600,5.2748725800,5.2437064200,54733838,1092883258.0000,2,0.690571,1,0.594400,0
2010-05-06,sh.600000,5.2203318000,5.2203318000,4.9346420000,4.9450307200,5.2748725800,74669511,1455622741.0000,2,0.942097,1,-6.253100,0
2010-05-07,sh.600000,4.8463378800,4.9554194400,4.7917971000,4.8177689000,4.9450307200,61558279,1154038840.0000,2,0.776674,1,-2.573500,0
2010-05-10,sh.600000,4.8619209600,4.9735997000,4.8047830000,4.9294476400,4.8177689000,45360001,855166079.0000,2,0.572302,1,2.318100,0
2010-05-11,sh.600000,5.0489179200,5.0696953600,4.8047830000,4.8697125000,4.9294476400,59396296,1134347419.0000,2,0.749396,1,-1.211800,0
2010-05-12,sh.600000,4.7969914600,4.9969743200,4.7866027400,4.9839884200,4.8697125000,81130496,1535265025.0000,2,1.023614,1,2.346700,0
2010-05-13,sh.600000,4.9606138000,5.1839712800,4.9346420000,5.1190417800,4.9839884200,78035578,1526868697.0000,2,0.984566,1,2.709700,0
2010-05-14,sh.600000,5.0670981800,5.1008615200,4.9943771400,5.0385292000,5.1190417800,38321249,744352290.0000,2,0.483495,1,-1.572800,0
2010-05-17,sh.600000,4.9787940600,4.9787940600,4.8307548000,4.8463378800,5.0385292000,43804793,822883415.0000,2,0.552680,1,-3.814400,0
2010-05-18,sh.600000,4.8645181400,5.0645010000,4.8619209600,5.0255433000,4.8463378800,62168559,1190275864.0000,2,0.784374,1,3.697700,0
2010-05-19,sh.600000,4.9761968800,5.1086530600,4.9346420000,5.0021686800,5.0255433000,40046627,774847529.0000,2,0.505264,1,-0.465100,0
2010-05-20,sh.600000,4.9606138000,5.0515151000,4.8801012200,4.9112673800,5.0021686800,38877427,740314165.0000,2,0.490512,1,-1.817200,0
2010-05-21,sh.600000,4.7995886400,5.0125574000,4.7788112000,4.9943771400,4.9112673800,40777827,771270524.0000,2,0.514489,1,1.692200,0
2010-05-24,sh.600000,5.0333348400,5.1943600000,5.0333348400,5.1268333200,4.9943771400,61911238,1221387596.0000,2,0.781127,1,2.652100,0
2010-05-25,sh.600000,5.0904728000,5.1060558800,4.9320448200,4.9710025200,5.1268333200,52506336,1010824727.0000,2,0.662466,1,-3.039500,0
2010-05-26,sh.600000,4.9891827800,5.0333348400,4.9190589200,4.9632109800,4.9710025200,25592461,489097257.0000,2,0.322897,1,-0.156700,0
2010-05-27,sh.600000,4.9554194400,5.0177517600,4.8826984000,5.0151545800,4.9632109800,31281232,598110768.0000,2,0.394672,1,1.046600,0
2010-05-28,sh.600000,5.0696953600,5.0904728000,4.9424335400,4.9684053400,5.0151545800,32337600,623966140.0000,2,0.408000,1,-0.932200,0
2010-05-31,sh.600000,4.9086702000,4.9632109800,4.8047830000,4.8151717200,4.9684053400,51779891,972373572.0000,2,0.653301,1,-3.084200,0
2010-06-01,sh.600000,4.7969914600,4.8645181400,4.7528394000,4.7840055600,4.8151717200,41838832,771511544.0000,2,0.527876,1,-0.647200,0
2010-06-02,sh.600000,4.7736168400,4.7995886400,4.6931042600,4.7788112000,4.7840055600,31485389,575726765.0000,2,0.397248,1,-0.108600,0
2010-06-03,sh.600000,4.8021858200,4.8307548000,4.7164788800,4.7268676000,4.7788112000,41470018,761913864.0000,2,0.523222,1,-1.087000,0
2010-06-04,sh.600000,4.7086873400,4.7476450400,4.6879099000,4.7190760600,4.7268676000,28804637,522316732.0000,2,0.363425,1,-0.164800,0
2010-06-07,sh.600000,4.6489522000,4.6879099000,4.5684396200,4.5814255200,4.7190760600,47409887,842961733.0000,2,0.598165,1,-2.916900,0
2010-06-08,sh.600000,4.5944114200,4.6255775800,4.4619552400,4.5190932000,4.5814255200,40051743,701941332.0000,2,0.505328,1,-1.360500,0
2010-06-09,sh.600000,4.5424678200,4.8151717200,4.4593580600,4.8047830000,4.5190932000,93220918,1677856551.0000,2,1.176158,1,6.321841,0
2010-06-10,sh.600000,4.6618634000,4.7639480000,4.6482521200,4.6618634000,4.8047818400,52437769,725462720.0000,2,0.508924,1,-2.974500,0
2010-06-11,sh.600000,4.6856831400,4.8217959400,4.6652662200,4.7026972400,4.6618634000,63179327,880845072.0000,2,0.613174,1,0.875900,0
2010-06-17,sh.600000,4.7333226200,4.8081846600,4.6856831400,4.7129057000,4.7026972400,47895735,667865285.0000,2,0.464842,1,0.217100,0
2010-06-18,sh.600000,4.7163085200,4.8320044000,4.6890859600,4.7299198000,4.7129057000,65781891,922043291.0000,2,0.638433,1,0.361000,0
2010-06-21,sh.600000,4.7639480000,4.9817284800,4.7129057000,4.9272833600,4.7299198000,98921549,1418075364.0000,2,0.960063,1,4.172700,0
2010-06-22,sh.600000,4.9068664400,4.9919369400,4.8864495200,4.9306861800,4.9272833600,43036535,623676508.0000,2,0.417682,1,0.069100,0
2010-06-23,sh.600000,4.9000608000,4.9442974600,4.7945733800,4.8490185000,4.9306861800,39150500,558300835.0000,2,0.379967,1,-1.656300,0
2010-06-24,sh.600000,4.8354072200,4.9340890000,4.7775592800,4.8796438800,4.8490185000,34387096,492785965.0000,2,0.333737,1,0.631600,0
2010-06-25,sh.600000,4.8490185000,4.9272833600,4.8320044000,4.9000608000,4.8796438800,32535651,467122590.0000,2,0.315768,1,0.418400,0
2010-06-28,sh.600000,4.9000608000,4.9851313000,4.8388100400,4.9102692600,4.9000608000,48930056,708587795.0000,2,0.474881,1,0.208300,0
2010-06-29,sh.600000,4.9170749000,4.9340890000,4.6754746800,4.6822803200,4.9102692600,65494721,921508600.0000,2,0.635646,1,-4.643100,0
2010-06-30,sh.600000,4.6584605800,4.7163085200,4.6006126400,4.6278352000,4.6822803200,34558958,473254412.0000,2,0.335405,1,-1.162800,0
2010-07-01,sh.600000,4.6142239200,4.6958916000,4.5870013600,4.5938070000,4.6278352000,32989253,448251017.0000,2,0.320170,1,-0.735300,0
2010-07-02,sh.600000,4.6108211000,4.6550577600,4.4713054800,4.6516549400,4.5938070000,44785293,602308778.0000,2,0.434655,1,1.259300,0
2010-07-05,sh.600000,4.5767929000,4.6788775000,4.4951252200,4.6040154600,4.6516549400,35989580,485101365.0000,2,0.349290,1,-1.024100,0
2010-07-06,sh.600000,4.6074182800,4.7129057000,4.5767929000,4.7061000600,4.6040154600,50169905,685881949.0000,2,0.486914,1,2.217300,0
2010-07-07,sh.600000,4.6754746800,4.7061000600,4.6278352000,4.6822803200,4.7061000600,33977340,465516552.0000,2,0.329760,1,-0.506100,0
2010-07-08,sh.600000,4.7231141600,4.7843649200,4.6720718600,4.6924887800,4.6822803200,45101784,626025809.0000,2,0.437726,1,0.218000,0
2010-07-09,sh.600000,4.6992944200,4.9306861800,4.6584605800,4.8422128600,4.6924887800,76856389,1085618756.0000,2,0.745914,1,3.190700,0
2010-07-12,sh.600000,4.8422128600,4.9885341200,4.8149903000,4.9102692600,4.8422128600,58299174,841572628.0000,2,0.565811,1,1.405500,0
2010-07-13,sh.600000,4.8354072200,4.8898523400,4.7843649200,4.8217959400,4.9102692600,44913760,636641748.0000,2,0.435901,1,-1.801800,0
2010-07-14,sh.600000,4.8388100400,4.9817284800,4.8388100400,4.9034636200,4.8217959400,60363343,871449960.0000,2,0.585844,1,1.693700,0
2010-07-15,sh.600000,4.9034636200,4.9749228400,4.7877677400,4.7979762000,4.9034636200,47460309,678620878.0000,2,0.460616,1,-2.151300,0
2010-07-16,sh.600000,4.7639480000,4.8422128600,4.7299198000,4.8149903000,4.7979762000,40892325,573948198.0000,2,0.396872,1,0.354604,0
2010-07-19,sh.600000,4.7877677400,4.9783256600,4.7571423600,4.9442974600,4.8149903000,65708689,947603768.0000,2,0.637722,1,2.685500,0
2010-07-20,sh.600000,4.9647143800,5.0906187200,4.9340890000,4.9851313000,4.9442974600,79072757,1165343108.0000,2,0.767425,1,0.825900,0
2010-07-21,sh.600000,4.9953397600,5.0123538600,4.9374918200,4.9851313000,4.9851313000,44902488,656426774.0000,2,0.435792,1,0.000000,0
2010-07-22,sh.600000,4.9647143800,5.0531877000,4.9306861800,5.0361736000,4.9851313000,56509381,833413442.0000,2,0.548440,1,1.023900,0
2010-07-23,sh.600000,5.0361736000,5.1552723000,5.0123538600,5.0770074400,5.0361736000,76799211,1145633847.0000,2,0.745359,1,0.810800,0
2010-07-26,sh.600000,5.0770074400,5.1042300000,5.0225623200,5.0667989800,5.0770074400,40369550,599720851.0000,2,0.391798,1,-0.201100,0
2010-07-27,sh.600000,5.0395764200,5.0395764200,4.9545059200,4.9715200200,5.0667989800,52103320,763431981.0000,2,0.505678,1,-1.880500,0
2010-07-28,sh.600000,5.0021454000,5.1518694800,4.9613115600,5.1280497400,4.9715200200,85532236,1277292888.0000,2,0.830116,1,3.148500,0
2010-07-29,sh.600000,5.1382582000,5.1790920400,5.0770074400,5.1314525600,5.1280497400,69649439,1049605494.0000,2,0.675968,1,0.066400,0
2010-07-30,sh.600000,5.1042300000,5.1212441000,5.0565905200,5.0974243600,5.1314525600,33083139,494243446.0000,2,0.321082,1,-0.663100,0
2010-08-02,sh.600000,5.0736046200,5.2063146000,5.0599933400,5.2063146000,5.0974243600,65421012,992064194.0000,2,0.634930,1,2.136200,0
2010-08-03,sh.600000,5.2097174200,5.2199258800,5.0702018000,5.0736046200,5.2063146000,62854668,950090558.0000,2,0.610023,1,-2.549000,0
2010-08-04,sh.600000,5.0702018000,5.0804102600,4.9477002800,5.0327707800,5.0736046200,75269997,1107946627.0000,2,0.730518,1,-0.804800,0
2010-08-05,sh.600000,5.0191595000,5.0191595000,4.9068664400,4.9442974600,5.0327707800,64461099,939332428.0000,2,0.625614,1,-1.757900,0
2010-08-06,sh.600000,4.9340890000,5.0157566800,4.8660326000,4.9987425800,4.9442974600,63904291,927585923.0000,2,0.620210,1,1.101200,0
2010-08-09,sh.600000,4.9851313000,5.0361736000,4.9340890000,4.9681172000,4.9987425800,65817780,961880755.0000,2,0.638781,1,-0.612700,0
2010-08-10,sh.600000,4.9749228400,4.9987425800,4.7741564600,4.7877677400,4.9681172000,70934886,1019389647.0000,2,0.688444,1,-3.630100,0
2010-08-11,sh.600000,4.7809621000,4.8626297800,4.7673508200,4.8047818400,4.7877677400,40185978,567503571.0000,2,0.390017,1,0.355400,0
2010-08-12,sh.600000,4.7571423600,4.8047818400,4.7026972400,4.7265169800,4.8047818400,52092833,725912633.0000,2,0.505576,1,-1.628900,0
2010-08-13,sh.600000,4.7401282600,4.7707536400,4.6618634000,4.7605451800,4.7265169800,65122982,902877091.0000,2,0.632038,1,0.719900,0
2010-08-16,sh.600000,4.7333226200,4.8932551600,4.7129057000,4.8660326000,4.7605451800,70298086,995317243.0000,2,0.682264,1,2.215900,0
2010-08-17,sh.600000,4.8694354200,4.9238805400,4.8251987600,4.9034636200,4.8660326000,58280094,834705798.0000,2,0.565626,1,0.769200,0
2010-08-18,sh.600000,4.9068664400,4.9647143800,4.8490185000,4.8660326000,4.9034636200,72467574,1043450943.0000,2,0.703319,1,-0.763400,0
2010-08-19,sh.600000,4.8660326000,4.9545059200,4.8081846600,4.9170749000,4.8660326000,88905564,1278554855.0000,2,0.862855,1,1.049000,0
